id,jname,rname,ename,first,affiliation,occupation,origin,epithet,status,age,birth,height,blood type,bounty,jva,Odex eva,4kids eva,Funi eva,liveaction,residence,alias,age2,dfname,dfename,dfmeaning,dftype,birthname,dfname2,dfename2,dfmeaning2,dftype2,size,weight,doriki,cp9key,zombie number,gladiator number
Kureha,['くれは'],['Kureha'],['Kureha'],"['Chapter 134', 'Episode 80']","['Sakura Kingdom', 'Isshi-100']","['Head-Doctor of the Sakura Kingdom', 'Leader of the Isshi-100']",['Grand Line (Drum Kingdom)'],"['""Witch""', '""Master of Doctors""']",['Alive'],"['139 (debut)', '141 (after timeskip)']",['September 8th'],"['188 cm (6\'2"")']",['S'],,['Masako Nozawa'],['Emlyn Morinelli'],['Maddie Blaustein'],['Julie Mayfield'],,['Drum Island'],"['""Doctorine""']",,,,,,,,,,,,,,,,
Marshall_D._Teach,['マーシャル・D・ティーチ'],['Māsharu Dī Tīchi'],"['Marshall D. Teech (VIZ, Funimation subs, edited dub)', 'Marshall D. Teach (Funimation uncut dub)']","['Chapter 223', 'Episode 146']","['Blackbeard Pirates', 'Four Emperors', 'Seven Warlords of the Sea (former)', 'Whitebeard Pirates 2nd Division (defected)']","['Pirate', 'Admiral', 'Emperor', 'Apprentice (former)', 'Warlord of the Sea (former)']",['Grand Line'],"['""Blackbeard""']",['Alive'],"['38 (debut)', '40 (after timeskip)']",['August 3rd'],"['344 cm (11\'3"") (debut, after timeskip)']",['F'],"['3996000000', '2247600000', '0']","['Akio Ōtsuka', 'Fukushi Ochiai (young)']",,,"['Cole Brown (Episode 146-570)', 'Chris Rager (One Piece: Stampede, Episode 629-present)', 'Tyson Rinehart (young)']",,['Hachinosu'],,,['Yami Yami no Mi'],['Dark-Dark Fruit'],['Darkness'],['Logia'],,['Gura Gura no Mi'],['Tremor-Tremor Fruit'],['Sound of shaking'],['Paramecia'],,,,,,
Van_Augur,['ヴァン･オーガー'],['Van Ōgā'],"['Van Augur (VIZ)', 'Van Ogre (Formerly VIZ, Edited Funimation)', 'Van Auger (Uncut Funimation)']","['Chapter 222', 'Episode 146']",['Blackbeard Pirates'],"['Pirate', 'Sniper', 'Titanic Captain (Captain of the Third Ship)']",['East Blue'],"['""The Supersonic""']",['Alive'],"['25 (debut)', '27 (after timeskip)']",['October 5th'],"['340 cm (11\'2"")']",['X'],['At least 64000000'],['Masaya Takatsuka'],,,['Barry Yandell'],,,,,['Wapu Wapu no Mi'],['Warp-Warp Fruit'],['Warp'],['Paramecia'],,,,,,,,,,,
Jesus_Burgess,['ジーザス・バージェス'],['Jīzasu Bājesu'],"['Jesus Burgess (VIZ, uncut dub)', 'G. Zass Burgess (edited dub)']","['Chapter 222', 'Episode 146']",['Blackbeard Pirates'],"['Helmsman', 'Titanic Captain (Captain of the First Ship)']",['Grand Line'],"['""Champion""']",['Alive'],"['27 (debut)', '29 (after timeskip)']",['December 25th'],"['355 cm (11\'8"")']",['F'],['At least 20000000'],['Tetsu Inada'],,,['Phil Parsons'],,,"['""Mr. Store""']",,['Riki Riki no Mi'],['Strong-Strong Fruit'],['Strength'],['Paramecia'],,,,,,,,,,,
Doc_Q,['ドクQ'],['Doku Kyū'],['Doc Q'],"['Chapter 223', 'Episode 146']",['Blackbeard Pirates'],"['Pirate', 'Doctor', 'Titanic Captain (Captain of the Ninth Ship)']",['North Blue'],"['""Death God""']",['Alive'],"['26 (debut)', '28 (after timeskip)']",['October 18th'],['342 cm (11’3”)'],['S'],['At least 72000000'],['Naoya Uchida'],,,['Kenny Green'],,,,,['Shiku Shiku no Mi'],['Sick-Sick Fruit'],['Sick'],['Paramecia'],,,,,,,,,,,
Laffitte,['ラフィット'],['Rafitto'],"['Lafitte (VIZ, uncut dub)', 'Raffit (edited dub)', 'Laffitte (WT100)']","['Chapter 234', 'Episode 151']",['Blackbeard Pirates'],"['Pirate', 'Navigator', 'Sheriff (former)', 'Titanic Captain (Captain of the Fifth Ship)', 'Chief of Staff']",['West Blue'],"['""Demon Sheriff""']",['Alive'],"['39 (debut)', '41 (after timeskip)']",['March 13th'],"['340 cm (11\'2"")']",['X'],['At least 42200000'],['Taiki Matsuno'],,,['Christopher Bevins'],,,,,,,,,,,,,,,,,,,
Tony_Tony_Chopper,['トニートニー・チョッパー'],['Tonī Tonī Choppā'],['Tony Tony Chopper'],"['Chapter 134', 'Episode 81']","['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Foxy Pirates (former, temporary)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Doctor', 'Senior Officer']",['Grand Line (Drum Island)'],"['""Cotton Candy Lover""']",['Alive'],"['15 (debut)', '17 (after timeskip)']",['December 24th'],"['90 cm (2\'11"") (hybrid form)']",['X'],"['1000', '100', '50']","['Ikue Otani', 'Kazue Ikura (Episode 254–264, Movie 7)']",['Emlyn Morinelli'],"['Lisa Ortiz (Brain Point Form)', 'Brian Maillard (Heavy Point Form)']",['Brina Palencia'],,"['Sakura Kingdom (former)', 'Torino Kingdom (former, temporary)']","['""Chopa-emon""']",,['Hito Hito no Mi'],['Human-Human Fruit'],['Human'],['Zoan'],,,,,,,,,,,
Negikuma_Maria,['ネギ熊まりあ'],['Negikuma Maria'],"['Maria Onion Bear (Viz)', 'Mrs. Negi (FUNimation)Big Mama (4Kids)']","['Chapter 133', 'Episode 80']",,['Housewife'],['Grand Line (Drum Island)'],,['Alive'],"['43 (debut)', '45 (after timeskip)']",['November 14th'],,,,['Noriko Yoshitake'],,['N/A'],['Wendy Powell'],,['Bighorn'],,,,,,,,,,,,,,,,,
Hiking_Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamachibi,['タマチビ'],['Tamachibi'],"['Tamachibi (Funimation),Tama (Viz)']","['Chapter 134', 'Episode 81']",['Stool Restaurant'],,['Grand Line (Drum Island)'],,['Alive'],,['June 17th'],,,,['Noriko Yoshitake'],,['N/A'],['Kristi Bingham'],,"['Cocoa Weed, Drum Island']",,,,,,,,,,,,,,,,,
Lapahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robson,['ロブソン'],['Robuson'],['Robson'],"['Chapter 135', 'Episode 81']","['Drum Kingdom (former)', 'Bliking Pirates (disbanded)']","[""Wapol's Pet""]",,,['Unknown'],,,,,,['Kenji Nomura'],,,['Kyle Phillips'],,,,,,,,,,,,,,,,,,,
White_Walkie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isshi-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiriluk,['ヒルルク'],['Hiruruku'],"['Hiriluk', 'Hiruruku (Odex)']","['Chapter 141', 'Episode 85']",,"['Doctor', 'Thief (former)']",['Grand Line (Drum Kingdom)'],['Dr. Hiriluk'],['Deceased'],,['January 12th'],"[""213 cm (7')""]",['F'],,['Shigeru Ushiyama'],['Paul Pistore'],['Marc Diraison'],['Mark Stoddard'],,['Drum Island'],,['68'],,,,,,,,,,,,,,,
Nefertari_Cobra,['ネフェルタリ・コブラ'],['Neferutari Kobura'],"['Nefeltari Cobra (VIZ, Movie 8)', 'Nefertari Cobra (Funimation)', 'Nefeltari Nebra (4Kids)']","['Chapter 142', 'Episode 91']",['Arabasta Kingdom'],['King of Arabasta'],['Grand Line (Arabasta Kingdom)'],,['Deceased'],['48 (debut)'],['February 13th'],"['182 cm (6\'0"")']",['F'],,"['Iemasa Kayumi', 'Yasuhiko Tokuyama (Grand Battle! Rush!)Toshiya Ueda (Episode 512)Hozumi Gōda (Episode 776-)']",,['David Zen Mansley'],['Kyle Hebert'],,"['Alubarna, Arabasta']",,['50 (after timeskip)'],,,,,,,,,,,,,,,
Thalassa_Lucas,['タラッサ・ルーカス'],['Tarassa Rūkasu'],['Thalassa Lucas'],"['Chapter 142', 'Episode 91']",['Ilisia Kingdom'],['King (former)'],,,['Unknown'],,['July 27th'],,,,['Keiichi Sonobe'],,,,,,,,,,,,,,,,,,,,,,
Chessmarimo,['チェスマーリモ'],['Chesumārimo'],['Chessmarimo'],"['Chapter 147', 'Episode 87']","['Bliking Pirates, Drum Kingdom']","['Servant of Wapol', 'Pirate']",,,['Alive'],,,,,,"['Yusuke Numata (Chess),', 'Kenji Nomura (Kuromarimo)']",,"['Jimmy Zoppi (Chess),', 'Jamie McGonnigal (Kuromarimo)']","['Kyle C. Jones (Chess),', 'Charles Baker (Kuromarimo)']",,,,,,,,,,,,,,,,,,,
Yurikah,['ユリカー'],['Yurikā'],['Eureka'],['Chapter 151 (cover)'],['Tulip Pirates'],['Pirate Captain'],,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portgas_D._Ace,['ポートガス・D・エース'],['Pōtogasu Dī Ēsu'],"['Portgas D. Ace (uncut dub)', 'Portgaz D. Ace (VIZ, Funimation subs)', 'Portgaz D. Trace (edited dub)']","['Chapter 154', 'Episode 91']","['Whitebeard Pirates', 'Spade Pirates (former)', 'Dadan Family (former)', 'Impel Down (former)']","['2nd Division Commander', 'Pirate', 'Captain (former)', 'Prisoner of the Great Prison (former)', 'Thief (former)', 'Bandit (former)']",['South Blue (Baterilla)'],"['""Fire Fist"" Ace']",['Deceased'],,['January 1st'],"['185 cm (6\'1"") (age 20)', '103 cm (3\'5"") (age 10)']",['S'],['550000000'],"['Toshio Furukawa', 'Daisuke Sakaguchi (young)']",['Dwayne Tan'],['Jesse Hooker'],"['Travis Willingham', 'Chris Burnett (young)']",,"['Baterilla (former)', 'Mt. Colubo (former)']",,['20'],['Mera Mera no Mi'],"['Flame-Flame Fruit (VIZ, Funimation)', 'Flare-Flare Fruit (4Kids, Funimation subs)']",['Sound of fire burning'],['Logia'],"['Gol D. Ace (ゴール・D・エース, Gōru D. Ēsu?)']",,,,,,,,,,
Puppu,['プップー'],['Puppū'],['Puppu'],"['Chapter 155', 'Episode 92']",['Pirate crew'],"['Pirate, Captain']",,,['Unknown'],,,,,,['Kazunari Tanaka'],,,,,,,,,,,,,,,,,,,,,,
Chaka,['チャカ'],['Chaka'],['Chaka'],"['Chapter 155', 'Episode 91']",['Arabasta Kingdom'],['Commander of Royal Guards'],['Grand Line (Arabasta Kingdom)'],"['""Chaka the Jackal""']",['Alive'],"['39 (debut)', '41 (after timeskip)']",['April 26th'],"[""213 cm (7')""]",['S'],,['Kihachirō Uemura'],,['Russell Velazquez'],['Robert McCollum'],,,,,"['Inu Inu no Mi, Model: Jackal']","['Dog-Dog Fruit, Model: Jackal (FUNimation)', 'Mutt Mutt Fruit: Jackal Mode (Viz)', 'Mutt-Mutt Fruit: Jackal Strike (4Kids)']",['Dog'],['Zoan'],,,,,,,,,,,
Pell,['ペル'],['Peru'],['Pell'],"['Chapter 155', 'Episode 91']",['Arabasta Kingdom'],['Commander of Royal Guards'],['Grand Line (Arabasta Kingdom)'],"['""Pell the Falcon""']",['Alive'],"['33 (debut)', '35 (after timeskip)']",['August 23rd'],"['189 cm (6\'2¾"")']",['X'],,['Kenji Nojima'],,['Marc Diraison'],['Kevin M. Connolly'],,,,,"['Tori Tori no Mi, Model: Falcon']","['Tweet-Tweet Fruit Falcon Type (VIZ)', 'Tweet-Tweet Fruit (4Kids)', 'Bird-Bird Fruit, Model: Falcon (Funimation)']",['Bird'],['Zoan'],,,,,,,,,,,
Daz_Bonez,['ダズ・ボーネス'],['Dazu Bōnesu'],['Daz Bonez'],"['Chapter 160', 'Episode 103']","['Cross Guild', 'Baroque Works (former)']","['Pirate', 'Assassin', 'Officer Agent (former)', 'Bounty Hunter (former)']",['West Blue'],"['""The Killer""']",['Alive'],"['29 (debut)', '31 (after timeskip)']",['January 1st'],"['212 cm (6\'11½"")']",['F'],['75000000'],['Tetsu Inada'],['Brian Zimmerman'],['Scottie Ray'],['Brett Weaver'],,,"['""Mr. 1""']",,['Supa Supa no Mi'],['Dice-Dice fruit'],['Sound of slicing'],['Paramecia'],,,,,,,,,,,
Zala,['ザラ'],['Zara'],['Zala'],"['Chapter 155', 'Episode 103']","['New Spiders Cafe', 'Baroque Works  (Former)']","['Spiders Cafe Owner', 'Assassin (Former)', 'Officer Agent (Former)']",['Grand Line'],"['""Poison Spider Zala""']",['Alive'],"['26 (debut)', '28 (after timeskip)']",['July 30th'],"['187 cm (6\'2"")']",['X'],['35000000'],"['Rin Mizuhara (eps 103-104),', 'Yuko Tachibana (eps 107+, Movie 8)']",,"['Eva Kaminsky', 'Kathleen Delaney (Grand Battle)']",['Leah Clark'],,,"['Miss Doublefinger', 'Paula']",,['Toge Toge no Mi'],['Spike-Spike Fruit'],['Spike'],['Paramecia'],,,,,,,,,,,
Babe,['ベーブ'],['Bēbu'],['Babe'],"['Chapter 160', 'Episode 103']","['New Spiders Cafe', 'Baroque Works (former)']","['Cafe Delivery Boy', 'Officer Agent (former)']",['Grand Line'],"['""Catcher-Killing"" Babe']",['Alive'],"['28 (debut)', '30 (after timeskip)']",['June 19th'],"['218 cm (7\'2"")']",['F'],['3200000'],['Masaya Takatsuka'],,['David Lapkin'],['Scott Hinze'],,,"['""Mr. 4""']",,,,,,,,,,,,,,,,
Drophy,['ドロフィー'],['Dorofī'],['Drophy'],"['Chapter 160', 'Episode 103']","['New Spiders Cafe', 'Baroque Works (former)']","['Cafe Waitress', 'Officer Agent (former)']",['Grand Line'],"['""Town-Collapser"" Drophy']",['Alive'],"['49 (debut)', '51 (after timeskip)']",['December 25th'],"['156 cm (5\'1"")']",['S'],['14000000'],['Mami Kingetsu'],['Emlyn Morinelli'],['Kayzie Rogers'],['Wendy Powell'],,,"['""Miss Merry Christmas""']",,['Mogu Mogu no Mi'],"['Mole-Mole Fruit (Funimation)', 'Diggy-Diggy Fruit (Viz, 4Kids)']",['Mole'],['Zoan'],,,,,,,,,,,
Mr._6,['Mr. 6'],['Misutā Shikkusu'],['Mr. 6'],"['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Mr. 6'],,,,,,,,,,,,,,,,
Miss_Mother%27s_Day,['ミス・マザーズデー'],['Misu Mazāzu Dē'],"[""Miss Mother's Day""]","['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,"[""Miss Mother's Day""]",,,,,,,,,,,,,,,,
Mr._7,['Mr. 7'],['Misutā Sebun'],['Mr. 7'],"['Chapter 205', 'Episode 124']",['Baroque Works'],"['Frontier Agent (former)', 'Sniper']",,,['Alive'],,,,,,['Keisuke'],,['David Lapkin'],['Anthony Bowling'],,,['Mr. 7'],,,,,,,,,,,,,,,,
Miss_Father%27s_Day,['ミス・ファーザーズデー'],['Misu Fāzāzu Dē'],"[""Ms. Father's Day""]","['Chapter 205', 'Episode 124']",['Baroque Works'],"['Frontier Agent', 'Sniper']",,,['Alive'],,['June 21st'],,,,['Tomoko Naka'],,['Erica Schroeder'],['Cynthia Cranz'],,,"[""Miss Father's Day""]",,,,,,,,,,,,,,,,
Mr._10,['Mr. 10'],['Misutā Ten'],['Mr. 10'],"['Chapter 155', 'Episode 91 (Mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Mr. 10'],,,,,,,,,,,,,,,,
Miss_Tuesday,['ミス・テューズデー'],['Misu Tyūzudē'],['Miss Tuesday'],"['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Miss Tuesday'],,,,,,,,,,,,,,,,
Miss_Thursday,['ミス・サースデー'],['Misu Sāsudē'],['Miss Thursday'],"['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Miss Thursday'],,,,,,,,,,,,,,,,
Mr._12,['Mr. 12'],['Misutā Tuerubu'],['Mr. 12'],"['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Mr. 12'],,,,,,,,,,,,,,,,
Miss_Saturday,['ミス・サタデー'],['Misu Satadē'],['Miss Saturday'],"['Chapter 155', 'Episode 91 (mentioned)']",['Baroque Works'],['Frontier Agent'],,,['Alive'],,,,,,,,,,,,['Miss Saturday'],,,,,,,,,,,,,,,,
Yoshimoto,['ヨシモト'],['Yoshimoto'],['Yoshimoto'],"['Chapter 157', 'Episode 94']",,['Restaurant owner'],,,['Alive'],,,,,,,,,['Brian Mathis'],,,,,,,,,,,,,,,,,,,
Sea_Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward_Newgate,['エドワード・二ューゲート'],['Edowādo Nyūgēto'],"['Edward Newgate (VIZ, Funimation)', 'Ward Newgate (4Kids)']","['Chapter 159', 'Episode 95 (silhouette)', 'Chapter 234', 'Episode 151 (full)']","['Whitebeard Pirates', 'Rocks Pirates (former)', 'Four Emperors (former)']","['Pirate Captain', 'Emperor (former)']",['Grand Line'],"['""Whitebeard""', '""The Strongest Man in the World""']",['Deceased'],,['April 6th'],"['666 cm (21\'10"")']",['F'],['5046000000'],"['Kinryū Arimoto', 'Ryūzaburō Ōtomo (Episode 962-)']",,,['R. Bruce Elliott'],,['Sphinx (former)'],,['72'],['Gura Gura no Mi'],['Tremor-Tremor Fruit'],['Sound of shaking'],['Paramecia'],,,,,,,,,,,
Mr._Mellow,['Mr. メロウ'],['Misutā Merō'],['Mr. Melow'],"['Chapter 159', 'Episode 95']",['Baroque Works (Billions)'],['Bounty Hunter'],,,['Alive'],,,,,,['Masaya Takatsuka'],,,['Josh Martin'],,,,,,,,,,,,,,,,,,,
Matsuge,['睫毛（マツゲ）'],['Matsuge'],"['Eyelashes (Viz),', 'Eyelash (4Kids, FUNimation dub),', 'Lashes (FUNimation subs),', 'Matsuge (WT100)']","['Chapter 162', 'Episode 93']","['Super Spot-Billed Duck Troops, Straw Hat Pirates (temporary)']",['Royal Transport'],['Grand Line (Arabasta Kingdom)'],,['Alive'],"['15 (debut)', '17 (after timeskip)']",['August 17th'],"['190 cm (6\'3"")']",['F'],,['Kappei Yamaguchi'],,['Jamie McGonnigal'],"['Mike McFarland', 'Troy Baker (Episode of Arabasta: The Desert Princess and the Pirates)']",,"['Alubarna', 'Rainbase (former)']",,,,,,,,,,,,,,,,,
Bananawani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erimaki_Runners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung-Fu_Dugongs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warusagi_Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandora_Lizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agotogi,['アゴトギ'],['Agotogi'],['Agotogi'],"['Chapter 163', 'Episode 100']",['His own bandit gang'],['Bandit'],,,['Alive'],,,,,,['Takeshi Kusao'],,,,,['Arabasta'],,,,,,,,,,,,,,,,,
Koza,['コーザ'],['Kōza'],['Koza'],"['Chapter 163', 'Episode 93']","['Arabasta Kingdom', 'Suna Suna Clan (former)', 'Rebel Army (former)']","['Environmental Minister', 'Rebel Army leader (former)', 'Suna Suna Clan leader (former)', '']",['Grand Line (Arabasta Kingdom)'],,['Alive'],"['20 (debut)', '22 (after timeskip)']",['May 26th'],"['177 cm (5\'10"")']",['X'],,"['Takeshi Kusao,', 'Naomi Shindō (young)']",,['Jonathan Todd Ross'],['Todd Haberkorn'],,"['Yuba, Arabasta', 'Katorea, Arabasta (Former)']",,,,,,,,,,,,,,,,,
Toto,['トト'],['Toto'],"['Toto (FUNimation),', 'Toh-Toh (Viz),', 'Tu-tu (4Kids)']","['Chapter 163', 'Episode 100']",['Koza'],['Yuba villager'],,,['Alive'],,['June 17th'],,,,['Masaaki Tsukada'],['Paul Pistore'],['Sean Schemmel'],"['Jerry Russell', 'Gregory Lush (777)']",,"['Yuba, Arabasta']",,,,,,,,,,,,,,,,,
Aswa,['アスワ'],['Asuwa'],['Aswa'],"['Chapter 163', 'Episode 100']",['Neutral civilian'],,,,['Unknown'],,,,,,['Yui Horie'],,['N/A'],['Maeghan Albach'],,['Arabasta'],,,,,,,,,,,,,,,,,
Okame,['おかめ'],['Okame'],['Okame'],"['Chapter 163', 'Episode 100']","['Suna Suna Clan (former)', 'Rebel Army']",['Rebel (former)'],,,['Alive'],,,,,,,,,,,['Arabasta'],,,,,,,,,,,,,,,,,
Kebi,['ケビ'],['Kebi'],['Kebi'],"['Chapter 164', 'Episode 100']","['Arabasta Kingdom', 'Suna Suna Clan (formerly)', 'Rebel Army (formerly)']",['Rebel (former)'],,,['Alive'],,,,,,,,,"['Joel Mcdonald (Anime)', 'Ian Sinclair (Movie 8)']",,['Arabasta'],,,,,,,,,,,,,,,,,
Natto,['ナットー'],['Nattō'],['Natto'],"['Chapter 164', 'Episode 100']",['Suna Suna Clan'],,,,['Alive'],,,,,,,,,,,['Arabasta'],,,,,,,,,,,,,,,,,
Marine_Headquarters_Court,['海軍本部裁判所'],['Kaigun Honbu Saibansho'],['Marine Headquarters Court'],['Chapter 164 (cover)'],"['Marines', 'World Government']",['Judges'],,,['Alive'],,,,,,['N/A'],,,,,,,,,,,,,,,,,,,,,,
Erik,['エリック'],['Erikku'],['Eric'],"['Chapter 167', 'Episode 105']","['Suna Suna Clan (former)', 'Rebel Army (former)']",['Rebel (former)'],,,['Alive'],,,,,,,,,"['Scott Freeman (Anime)', 'J. Michael Tatum (Movie 8)']",,['Arabasta Kingdom'],,,,,,,,,,,,,,,,,
Farafra,['ファラフラ'],['Farafura'],"['Falafra (Viz)', 'Faracia (FUNimation)']","['Chapter 167', 'Episode 105']","['Arabasta', 'Rebel Army (former)']",['Rebel (former)'],,,['Alive'],,,,,,['Unknown'],,,"['J. Paul Slavens (Episode 105)', 'Tyler Walker (Episode 120-121)']",,,,,,,,,,,,,,,,,,,
Kappa,['カッパ'],['Kappa'],['Kappa'],"['Chapter 167', 'Episode 105']",,['Shoeshiner'],,,['Alive'],,,,,,['Junko Noda'],,['Tom Wayland'],['Monica Rial'],,['Nanohana'],,,,,,,,,,,,,,,,,
Ultraking,['ウルトラキング'],['Urutorakingu'],['Ultra King'],"['Chapter 169', 'Episode 106']",['Rain Dinners'],['Assistant-Manager'],,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koala_Mercenaries,['雇われ暴力団コアラ組'],['Yatoware Bōryokudan Koara-gumi'],['Koala Gang'],"['Chapter 169', 'Episode 106']",['Rain Dinners'],['Bodyguards'],,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hina,['ヒナ'],['Hina'],['Hina'],"['Chapter 171 (cover)', 'Episode 127']",['Marines (Black Cage Corps)'],"['Rear Admiral', 'Captain (former)']",['West Blue'],"['""Black Cage Hina""']",['Alive'],"['32 (debut)', '34 (after timeskip)']",['March 3rd'],"['181 cm (5\'11"")']",['F'],,['Tomoko Naka'],,['Kathleen Delaney'],"['Jennifer Seman,', 'Rachel Messer (One Piece: Stampede, Episode 777-)']",,,,,['Ori Ori no Mi'],"['Bind-Bind Fruit (VIZ)', 'Cage-Cage Fruit (4Kids, Funimation)']",['Cage'],['Paramecia'],,,,,,,,,,,
Hasami,['ハサミ'],['Hasami'],"['Pincers (VIZ, 4Kids, Funimation subs)', 'Scissors (Funimation dub)']","['Chapter 176', 'Episode 110']","['Ukkari Hot-Spring Island', 'Matsuge', 'Straw Hat Pirates (temporary)']",['Ukkari Hot-Springs Resort Transportation'],,,['Alive'],,,,,,,,,,,"['Arabasta Kingdom', 'Ukkari Hot-Springs Island']",,,,,,,,,,,,,,,,,
Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandora_Catfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung_Fu_Dugongs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassoo,['ラッスー'],['Rassū'],['Lassoo'],"['Chapter 160', 'Episode 103']","['New Spiders Cafe', 'Baroque Works (former)']","['Cafe Mascot', 'Pet']",,,['Alive'],,['January 4th'],,,,"['Masaya Takatsuka,', 'Takeshi Aono (Movie 8),', ""Koji Haramaki (Grand Battle! Rush!, Pirates' Carnival)""]",,['Unknown'],['Christopher Bevins'],,,,,"['Inu Inu no Mi, Model: Dachshund']","['Mutt-Mutt Fruit, Dachshund Type (Viz)', 'Mutt-Mutt Fruit (4Kids)', 'Mutt-Mutt Fruit Fruit, Dachshund Variety (Funimation)']",['Dog'],['Zoan'],,,,,,,,,,,
Goldfish_Princess,['金魚姫'],['Kingyohime'],['Goldfish Princess'],['Chapter 189 (cover)'],['Goldfish Empire'],['Princess of Goldfish Empire'],,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaboar,['海イノシシ'],['Umi Inoshishi'],['Sea Boar'],['Chapter 191 (cover)'],['Sea Floor'],,,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camie,['ケイミー'],['Keimī'],['Camie'],"['Chapter 195 (cover)', 'Episode 385']","['Takoyaki 8, Mermaid Cafe']","['Fashion designing apprentice', 'Takoyaki seller', 'Waitress at Mermaid Cafe']","['Grand Line (Ryugu Kingdom, Fish-Man Island)']",,['Alive'],"['16 (debut)', '18 (after timeskip)']",['November 3rd'],['197 cm (6’5½”)'],['X'],,['Haruna Ikezawa'],,,['Megan Shipman'],,,,,,,,,,,,,,,,,,,
Pappag,['パッパグ'],['Pappagu'],"['Pappagu', 'Pappag (WT100)']","['Chapter 195 (cover)', 'Episode 385']","['Criminal brand', 'Takoyaki 8']","['Fashion Designer', 'Takoyaki seller', 'Pet']","['Grand Line (Ryugu Kingdom, Fish-Man Island)']",,['Alive'],"['31 (debut)', '33 (after timeskip)']",['September 21st'],"['50 cm (1\'7"")']",['XF'],,['Kōzō Shioya'],,,['Chris Cason'],,['Gyoverly Hills'],,,,,,,,,,,,,,,,,
Macro,['マクロ'],['Makuro'],['Macro'],"['Chapter 197 (cover)', 'Episode 386']","['Macro Pirates', 'Sun Pirates (former)']","['Pirate', 'Captain', 'Slave trader']",,,['Alive'],,['September 6th'],,,,['Takashi Nagasako'],,,['Hunter Scott'],,,,,,,,,,,,,,,,,,,
Gyaro,['ギャロ'],['Gyaro'],['Gyaro'],"['Chapter 197 (cover)', 'Episode 386']","['Macro Pirates', 'Sun Pirates (former)']","['Pirate', 'Slave trader']",,,['Alive'],,,,,,['Yūsei Oda'],,,['Patric Carroll'],,,,,,,,,,,,,,,,,,,
Tansui,['タンスイ'],['Tansui'],['Tansui'],"['Chapter 197 (cover)', 'Episode 386']","['Macro Pirates', 'Sun Pirates (former)']","['Pirate', 'Slave trader']",,,['Alive'],,,,,,['Yasuhiko Kawazu'],,,"['Joey Folsom,', 'Donny Handsman (ep 543)']",,,,,,,,,,,,,,,,,,,
Octopako,['オクトパ子'],['Okutopako'],['Octopako'],"['Chapter 203 (cover)', 'Episode 531\u200e']",,,,,['Alive'],,['August 5th'],,,,,,,,,,,,,,,,,,,,,,,,,,
Octopus_Mash,['マッシュ'],['Masshu'],['Mash'],['Chapter 204 (cover)'],['Sea Floor'],['Holder of the Takoyaki recipe and sauce'],,,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr._Love,['Mr.ラブ'],['Misutā Rabu'],['Mr. Love'],"['Chapter 206, Episode 125']","['Baroque Works (Billions)[citation needed]', 'Rebel Army (ruse)']",,,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
