chapter,character,note
1042,Yamato,cover
1044,Topman_Warcury,
1046,Shachi,
1048,Hamlet,cover
1049,Scratchmen_Apoo,flashback
1050,Raizo,
1051,Nami,
1053,Jinbe,
1053,Morgans,image
1055,Kouzuki_Toki,flashback
1056,Miyagi,cover
1058,Morley,
1059,Catarina_Devon,flashback
1060,Shepherd_Ju_Peter,
1063,Penguin,
1063,Jean_Bart,
1064,Jinbe,image
1066,Usopp,
1066,Tony_Tony_Chopper,
1066,Nico_Robin,
1066,Jewelry_Bonney,flashback
1067,Tony_Tony_Chopper,
1068,Shaka,
1069,Nami,
1069,Sakazuki,
1070,Nico_Robin,
1072,Vinsmoke_Judge,cover
1076,Heat,flashback
1076,Gig,flashback
1076,Daz_Bonez,flashback
1077,Nico_Olvia,flashback
1077,Zadie,flashback
1078,Guillotine,flashback
1080,Tashigi,silhouette; flashback
1081,Laffitte,flashback
1085,Manboshi,
1086,Nerona_Imu,flashback
1086,Donquixote_Mjosgard,flashback
1086,Emporio_Ivankov,flashback
1087,Monkey_D._Garp,
1089,Urban,image
1090,Nico_Robin,
1090,Topman_Warcury,
1090,Vegapunk,
1094,Jaygarcia_Saturn,
1095,Bartholomew_Kuma,flashback
1096,Charlotte_Linlin,
1096,Bogard,
1098,Ginny,
1098,Sabo,
1099,Gambo,
1100,Gecko_Moria,
1101,Potato,
1102,Brook,
1102,Potato,
1102,Charlos,
1103,Borsalino,
1104,Borsalino,flashback
1107,Jinbe,
1109,Alice,
1110,Roronoa_Zoro,
1112,Pomsky,
1114,Marcus_Mars,
1114,Ethanbaron_V._Nusjuro,
1114,Tonjil,
1115,Marcus_Mars,
1115,Drophy,
1115,Mikita,
1116,York,"broadcast, flashback"
1116,Neptune,
1120,Oimo,
1120,Denjiro,cover
1121,Nami,cover
1121,Jewelry_Bonney,
1123,Vegapunk,"flashback, deceased"
1124,Usopp,
1125,Topman_Warcury,
1126,Roronoa_Zoro,
1126,Thormann,
1129,Nami,
1131,Monkey_D._Luffy,
1131,Usopp,
1131,Sanji,
1131,Lilith,cover
1132,Usopp,
1132,Stansen,
1134,Nico_Robin,
1134,Franky,
1135,Tama,cover
1135,Figarland_Shamrock,image
1136,Speed,cover
1138,Gerd,cover
1141,Brogy,
1141,Page_One,cover
1142,Aegir,
1143,Kashii,
1144,Skaldi,
1145,Roronoa_Zoro,
1145,Colon,cover
1146,Brook,
1146,Ripley,
1147,Dorry,
1148,Jaguar_D._Saul,
1148,Ronja,cover
1149,Roronoa_Zoro,cover
1149,Mag,
1149,Bent,cover
1150,Skaldi,cover
1155,Rocks_D._Xebec,
1155,Roronoa_Zoro,cover
1156,Tritoma,
1156,Streusen,
1156,Kyo,
1156,Jinbe,cover
1160,Mr._Momora,
1161,Satchels_Maffey,
1161,Nico_Olvia,doll
1161,Lilith,doll
1162,Buckingham_Stussy,
1162,Yui,
1162,Eris,cover
1162,Kouzuki_Momonosuke,cover
1163,Nerona_Imu,possessed
1163,Monkey_D._Dragon,
1166,Silvers_Rayleigh,
1166,Moon_Isaac_Jr.,
1168,Jaguar_D._Saul,flashback
1171,Jarul,flashback
1176,Sanji,cover
1176,Tony_Tony_Chopper,cover
1176,Zeus,
1179,York,
1180,Gerd,
1180,Scopper_Gaban,cover
1181,Joy_Boy,flashback
4,Rika,
7,Ririka,
12,Monkey_D._Luffy,
14,Roronoa_Zoro,K.O
24,Ninjin,
25,Nami,flashback
27,Kuro,image
28,Jango,
31,Nami,flashback
31,Usopp,
36,Richie,"cover, K.O"
41,Lucky_Roux,cover
43,Buggy,cover
43,Motzel,cover
43,Johnny,cover
43,Cocox,cover
46,Johnny,cover
49,Nami,flashback
50,Dracule_Mihawk,
52,Yosaku,
56,Monkey_D._Luffy,
56,Sanji,
59,Cabaji,cover
64,Krieg,
69,Hatchan,
72,Richie,cover
73,Sanji,cover
77,Arlong,flashback
82,Arlong,flashback
85,Hatchan,flashback
88,Genzo,
88,Nako,
90,Koby,cover
96,Arlong,wanted poster
97,Hanger,
98,Koby,cover
102,Crocus,shadowed
105,Morgan,cover
108,Nefertari_Vivi,
113,Monkey_D._Luffy,K.O
115,Brontosaurus,
126,Crocodile,shadowed
127,Monkey_D._Luffy,cover
133,Karoo,
134,Piiman,cover
134,Ninjin,cover
136,Robson,cover
138,Nami,cover
139,Kureha,
140,Chess,flashback
146,Robson,cover
151,Kuromarimo,flashback
154,Fullbody,cover
157,Roronoa_Zoro,
158,Usopp,
158,Sanji,
159,Monkey_D._Luffy,
163,Roronoa_Zoro,
164,Karoo,flashback
167,Tony_Tony_Chopper,cover
167,Nefertari_Vivi,
172,Monkey_D._Luffy,cover
177,Nami,
177,Nefertari_Vivi,
178,Usopp,Marine Rank
178,Hasami,
183,Usopp,cover
197,Koza,flashback
199,Monkey_D._Luffy,
199,Sanji,cover
200,Roronoa_Zoro,
202,Nami,cover
204,Roronoa_Zoro,
208,Usopp,cover
208,Igaram,flashback
211,Igaram,K.O.
214,Roronoa_Zoro,Marine Rank
217,Jango,
224,Bellamy,
232,Nami,flashback
233,Ethanbaron_V._Nusjuro,
234,Marco,
234,Lucky_Roux,
238,Wapol,cover
242,Conis,
245,Hakowan,cover
248,Braham,silhouette
250,Sanji,cover
251,Genbo,K.O.
253,Usopp,
254,Usopp,
254,Nico_Robin,
254,Shura,
257,Fuza,
257,Hakowan,cover
262,Tony_Tony_Chopper,cover
263,Enel,
264,Sanji,K.O.
268,Nami,K.O.
269,Su,
270,Enel,flashback
272,Usopp,K.O.
272,Enel,K.O.
273,Gan_Fall,
275,Tony_Tony_Chopper,K.O.
278,Pierre,flashback
280,Pierre,cover
281,Portgas_D._Ace,cover
282,Conis,flashback
285,Gan_Fall,K.O.
287,Nami,cover
288,Honner,
290,Mont_Blanc_Noland,cover
293,Nami,K.O.
295,Aisa,K.O.
295,Mont_Blanc_Cricket,flashback
296,Gan_Fall,K.O.
297,Shandia_Chief,K.O.
299,Pierre,cover
300,Pierre,
301,Roronoa_Zoro,
302,Genbo,cover
302,Nola,cover
303,Mont_Blanc_Cricket,
306,Tonjit,
309,Sanji,
309,Capote,
318,Tony_Tony_Chopper,
319,Kuzan,silhouette
329,Zambai,
329,Goro,cover
335,Schollzo,flashback
337,Hattori,
337,Kaku,cover
337,Gedatsu,cover
338,Mozu_and_Kiwi,
339,Rob_Lucci,shadowed
340,Kuzan,flashback
341,Tony_Tony_Chopper,shadowed
341,Kalifa,
342,Kiev,
342,Tilestone,cover
343,Igaram,cover
345,Iceburg,cover
355,Franky,
355,Kokoro,
356,Tom,
358,Spandam,
359,Paulie,
360,Roronoa_Zoro,
361,Tony_Tony_Chopper,
361,Crocodile,cover; newspaper
362,Corgi,
366,Dorry,cover
367,Dago,
371,Nami,flashback
371,Peepley_Lulu,
374,Roronoa_Zoro,
374,Sanji,
375,Gomorrah,cover
378,Yokozuna,
379,Tony_Tony_Chopper,cover
380,Kashii,
380,Paulie,
381,Tilestone,
381,Kokoro,
381,Gonbe,
382,Nico_Robin,
384,Kashii,
386,Gomorrah,K.O.
388,Zambai,
388,Mikita,cover
390,Kashii,Marine Rank
397,Kuzan,
397,Rint,flashback
400,Usopp,
401,Roronoa_Zoro,cover
403,Chimney,
403,Gonbe,
404,Zala,cover
405,Nico_Robin,cover
414,Nami,K.O.
414,Tony_Tony_Chopper,K.O.
420,Monkey_D._Luffy,K.O.
420,Spandam,K.O.
421,Nico_Robin,
421,Fukurou,K.O.
421,Franky,K.O.
423,Gomorrah,K.O.
424,Tilestone,
424,Gonbe,cover
424,Aisa,cover
426,Nami,Marine Rank
428,Kiev,K.O.
429,Franky,K.O.
433,Ethanbaron_V._Nusjuro,
433,Mozu_and_Kiwi,
433,Tamagon,
433,Chimney,cover
434,Shanks,
435,Kuzan,image
438,Kiev,cover
439,Peepley_Lulu,
440,Zeff,
449,Tony_Tony_Chopper,silhouette
449,Nico_Robin,silhouette
449,"Gyoro,_Nin,_and_Bao",
450,Gill_Bastar,"cover, flashback"
451,Franky,
451,Risky_Brothers,"cover, flashback"
456,"Gyoro,_Nin,_and_Bao",deceased
456,Macro,"cover, flashback"
458,Absalom,Zombie
461,Monkey_D._Luffy,K.O.
461,Sanji,
461,Spacey,cover
463,Nami,K.O
465,Sanji,flashback
467,Franky,Zombie
471,Brook,K.O
472,Tony_Tony_Chopper,flashback
473,Galaxy,cover
473,Cosmo,cover
477,Nami,
478,Nami,K.O
478,Gecko_Moria,K.O.
481,Unigaro,
485,Sanji,
486,Roronoa_Zoro,K.O.
487,Alice,cover
488,Nami,
489,Portgas_D._Ace,flashback
490,Sanji,
491,Brook,
492,Brook,cover
492,Fukurou,cover
494,Roronoa_Zoro,
495,Jabra,cover
499,Roronoa_Zoro,
500,Monkey_D._Luffy,
501,Eustass_Kid,"cover, K.O."
501,Wire,"cover, K.O."
501,Duval,
502,Wire,cover
503,Trafalgar_D._Water_Law,
504,Brook,
504,X_Drake,
505,Heat,
507,Jewelry_Bonney,
508,Brook,
508,Sentomaru,cover
510,Nami,
510,Borsalino,
515,Kikyo,cover
516,Sanji,cover
517,Aphelandra,cover
519,Blueno,"cover, silhouette"
521,Aphelandra,
522,Boa_Hancock,
531,Portgas_D._Ace,
531,Sadi,
531,Boa_Hancock,
536,Buggy,
536,Emporio_Ivankov,"shadowed, not clearly seen"
538,Boa_Hancock,image
541,Nefertari_Vivi,cover page
543,Hannyabal,K.O.
545,Magellan,
545,Crocodile,disbanded
549,Monkey_D._Luffy,cover page
551,Monkey_D._Luffy,cover
551,Portgas_D._Ace,
551,Squard,
551,Buggy,
551,Boa_Hancock,cover
552,Kukai,flashback
552,Lacroix,
553,Skull,
553,Monkey_D._Luffy,cover page
553,Bastille,
554,Sakazuki,
555,Salome,
557,Monkey_D._Luffy,cover
557,Oars_Jr.,K.O.
557,Borsalino,
558,Monkey_D._Garp,
559,Ramba,
559,Blondie,
563,Edward_Newgate,
569,Palms,
569,Kuzan,
570,Sengoku,
576,Doc_Q,
578,Monkey_D._Luffy,K.O.
578,Usopp,cover
579,Monkey_D._Luffy,K.O.
579,Fossa,K.O.
580,Izou,
582,Monkey_D._Luffy,Cover
582,Bepo,
586,Emporio_Ivankov,hinted
588,Franky,flashback
588,Monkey_D._Luffy,
590,Atmos,
592,Franky,
592,Perona,cover
594,Usopp,
595,Donquixote_Doflamingo,flashback
597,Brook,
598,Marguerite,
598,Momonga,
599,Salome,flashback
600,Monkey_D._Luffy,
604,Monkey_D._Luffy,
608,Adele,
610,Splatter,K.O.
612,Manboshi,
612,Hoe,
612,Pappag,flashback
613,Tony_Tony_Chopper,"cover story, picture"
613,Zeo,
613,Shirahoshi,
615,Sanji,
615,Shirahoshi,K.O.
616,Megalo,K.O.
620,Caribou,flashback
620,Boa_Hancock,"flashback, silhouette"
620,Boa_Marigold,"flashback, silhouette"
620,Daruma,flashback
621,Zururin,cover
623,Macro,
625,Fukaboshi,
628,Monkey_D._Luffy,
628,Otohime,image
629,Brook,
629,Ikaros_Much,flashback
630,Zeo,
631,Shirahoshi,
631,Megalo,cover
634,Nico_Robin,
634,Megalo,flashback
635,Tony_Tony_Chopper,
636,Hody_Jones,
639,Monkey_D._Luffy,
639,Nico_Robin,
640,Franky,
640,Karoo,cover
641,Manboshi,flashback
642,Tony_Tony_Chopper,
642,Minister_of_the_Left,K.O.
642,Surume,K.O.
643,Nico_Robin,
646,Zeo,cover
647,Usopp,
648,Hatchan,
649,Franky,K.O.
652,Nami,
652,Nico_Robin,
653,Shirahoshi,
654,Monkey_D._Luffy,
658,Sanji,
659,Trafalgar_D._Water_Law,cover; image
665,Konbu,
670,Chappe,
671,Franky,
671,Smoker,image
671,Tashigi,image
676,Nami,cover
680,Jinbe,cover
690,Baburu,cover
691,Brook,
691,Mashikaku,
693,Charlotte_Linlin,cover
695,Monkey_D._Luffy,
695,Caribou,cover
695,Smoker,
696,Baby_5,defeated
696,Buffalo,defeated
696,Kin'emon,image
696,Konbu,
698,Usopp,
700,Tony_Tony_Chopper,
700,Donquixote_Doflamingo,silhouette
705,Scotch,cover
706,Caribou,cover
706,Jean_Ango,
706,Mummy,
707,Monkey_D._Luffy,cover
708,Gaburu,"cover, image"
711,Franky,image
711,Kyros,
712,Trafalgar_D._Water_Law,flashback
712,Issho,
714,Kouzuki_Momonosuke,cover
716,Scotch,cover
716,Ideo,
717,Tony_Tony_Chopper,cover
717,Donquixote_Doflamingo,
717,Milo,
719,Baburu,cover
722,Trafalgar_D._Water_Law,image
722,Pica,image
722,Inhel,image
723,Sanji,
724,Jinbe,cover
725,Tony_Tony_Chopper,
726,Cotton,
727,Franky,flashback
728,Bellamy,
728,Leo,
729,Nico_Robin,
733,Rolling_Logan,K.O.
734,Riku_Doldo_III,
737,Rebecca,Fish-Man
738,Bomba,
739,Bartolomeo,image
744,Buffalo,cover
744,Viola,
744,Suleiman,Fish-Man
745,Roronoa_Zoro,cover
745,Dagama,
746,Trafalgar_D._Water_Law,
746,Senor_Pink,
746,Kyros,flashback
748,Elizabello_II,cover
748,Ideo,
749,Roronoa_Zoro,
749,Portgas_D._Ace,"cover, dream"
750,Bobomba,
750,Inhel,
751,Jinbe,cover
752,Machvise,cover
752,Viola,
753,Chinjao,
754,Bartolomeo,cover
755,Kyuin,cover
756,Franky,cover
756,Mansherry,flashback
757,Bartolomeo,
757,Lao_G,cover
757,Scarlett,flashback
758,Usopp,
758,Rebecca,
763,Machvise,
766,Diez_Barrels,
769,Trafalgar_D._Water_Law,flashback
769,Rebecca,flashback
771,Boa_Hancock,cover
772,Nico_Robin,
777,Pica,image
777,Tank_Lepanto,
778,Hack,
779,Nami,cover
779,Cotton,
783,Kyros,flashback
783,Viola,flashback
785,Viola,
785,Nubon,
788,Perona,cover
788,Wicca,
788,Chao,
789,Kin'emon,
789,Rebecca,
792,Diamante,K.O.
792,Leo,cover
793,Usopp,cover
793,Heat,
795,Sanji,
795,Wire,
795,Rebecca,
796,Sai,
797,Kyros,
797,Sind,cover
798,Bastille,flashback
798,Bobomba,
798,Cotton,
800,Baby_5,
800,Ideo,
801,Sai,flashback
801,Charlotte_Linlin,"image, silhouette"
804,Monkey_D._Luffy,
804,Ryunosuke,
806,Usopp,
807,Roronoa_Zoro,flashback
807,Usopp,flashback
807,Carrot,image
810,Brook,flashback
811,Miyagi,flashback
813,Crocus,cover
815,Tony_Tony_Chopper,
817,Pedro,
820,Nekomamushi,
822,Karoo,cover
823,Karoo,
824,Eustass_Kid,
828,Tony_Tony_Chopper,
830,Wadatsumi,flashback
832,Tony_Tony_Chopper,cover
834,Pekoms,
834,Capone_Bege,
836,Risky_Brothers,flashback
836,Charlotte_Brûlée,flashback
838,Rockstar,cover
838,Carrot,
840,Zeff,flashback
841,Monkey_D._Luffy,
842,Nyasha,flashback
843,Napoleon,
846,Charlotte_Decuplets,Sons
849,Charlotte_Linlin,
851,Charlotte_Opera,
851,Prometheus,
852,Sanji,cover
853,Charlotte_Smoothie,
854,Tamago,
854,Diesel,
856,Usopp,flashback
859,Charlotte_Pudding,
859,Vinsmoke_Ichiji,
860,Sanji,flashback
861,Charlotte_Galette,
861,Charlotte_Pudding,
861,Lu_Feld,
863,Usopp,volume release cover
864,Charlotte_Compo,
864,Charlotte_Mobile,
865,Monkey_D._Luffy,
865,Vito,cover
865,Stussy,
868,Charlotte_Mont-d'Or,
869,Charlotte_Smoothie,
869,Lu_Feld,
870,Bartolomeo,cover
871,Charlotte_Katakuri,
871,Pedro,
872,Charlotte_Saint-Marc,
872,Charlotte_Myukuru,
872,Tamago,
873,Rabiyan,
874,Charlotte_Tablet,
880,Monkey_D._Luffy,
880,Charlotte_Pudding,cover
884,Charlotte_Brûlée,
885,Nami,
886,Nico_Robin,cover
888,Abdullah,cover
888,Jinbe,
888,Inuarashi,flashback
889,Capone_Bege,cover
890,Prometheus,cover
892,Rabiyan,cover
894,Charlotte_Brownie,
894,Rabiyan,
896,Charlotte_Nougat,
897,Charlotte_Snack,
897,Charlotte_Myukuru,
898,Charlotte_Yuen,
899,Charlotte_Mont-d'Or,
900,Roronoa_Zoro,cover
900,Carrot,cover
902,Pedro,flashback
903,Fukaboshi,
904,Karasu,
906,Jeep,
908,Nefertari_Cobra,
908,Chap,
908,Jeep,
914,Shachi,
914,Tsurujo,flashback
916,Monkey_D._Luffy,cover
916,Roronoa_Zoro,cover
917,Kikunojo,flashback
918,Trafalgar_D._Water_Law,Gifter
919,Ideo,cover
921,Shirahoshi,cover
924,Kikunojo,silhouette
925,Tori,silhouette
925,Morley,silhouette
926,Hyougoro,silhouette
926,Akudai_Kanzaburo,silhouette
926,Killer,"image, flashback"
929,Minatomo,
929,Shimotsuki_Yasuie,
930,Charlotte_Perospero,
932,Raijin,
932,Inukai,cover
933,Tsuru,cover
935,Hanzo,flashback
939,Hyougoro,image
941,Shinobu,
943,Daifugo,image
943,Batman,image
943,Caesar_Clown,flashback
945,Jigoku_Benten,
946,Daifugo,
948,Daifugo,
949,Tony_Tony_Chopper,cover
951,Clione,
951,Kojuro,
954,Jujiro,
955,Nami,
956,X_Drake,
956,Makino's_Child,cover
957,Nami,cover
959,Giovanni,flashback
962,Izou,
963,Kouzuki_Oden,
966,Kouzuki_Oden,
966,Nekomamushi,
966,Petermoo,cover; image
966,Donquino,
967,Kouzuki_Hiyori,
968,Gotti,cover
969,Kouzuki_Hiyori,
969,Ashura_Doji,Cont.
970,Kouzuki_Hiyori,
970,Kikunojo,
972,Denjiro,flashback
972,Tony_Tony_Chopper,cover
973,Kouzuki_Momonosuke,
973,Kouzuki_Hiyori,
973,Kin'emon,
974,Caesar_Clown,flashback
975,Roronoa_Zoro,
975,Ashura_Doji,flashback
975,Cho,
976,Bian,cover
977,Wire,
979,Kanjuro,
980,Tama,flashback
982,Bepo,
982,Nekomamushi,
983,Charlotte_Linlin,
985,Izou,cover
986,Charlotte_Linlin,cover
987,Izou,
987,Charlotte_Perospero,flashback
987,Kouzuki_Oden,flashback
987,Inuarashi,
988,Izou,cover
988,Giovanni,cover
990,Jinbe,cover
990,Inuarashi,silhouette
991,Tsunagoro,
991,Yomo,cover
992,Nami,cover
993,Gotti,cover
993,Kurozumi_Higurashi,flashback
995,Nico_Robin,
996,Kaidou,
997,Tama,
999,King,flashback
1000,Kawamatsu,flashback
1002,Roronoa_Zoro,
1003,Monkey_D._Luffy,
1003,Jinbe,
1003,Eustass_Kid,
1004,Briscola,
1004,Gorishiro,
1005,Sarahebi,
1005,Wanyudo,
1006,Hyougoro,
1007,Shinobu,
1007,Caesar_Clown,cover
1009,Sanji,cover
1009,Napoleon,
1009,Bunbuku,cover
1011,Prometheus,Wano
1012,Shinobu,
1013,Monkey_D._Luffy,cover
1013,Hera,
1014,Sanji,
1015,Franky,
1015,Kawamatsu,KO
1015,Shinobu,KO
1015,Hyougoro,KO
1017,Jean_Bart,
1018,Jinbe,cover
1022,Leo,cover
1022,Baxcon,cover
1024,Speed,
1026,Carrot,
1027,Monkey_D._Luffy,cover
1027,Charlotte_Perospero,flashback
1029,Jewelry_Bonney,cover
1030,Maha,
1031,Cosette,flashback
1033,Roronoa_Zoro,
1036,Jinbe,cover
1038,House,
1038,Vinsmoke_Yonji,cover
1039,Charlotte_Linlin,
1041,X_Drake,flashback
1041,Nekomamushi,cover
1041,Carrot,cover
1046,Usopp,
1046,Nico_Robin,
1048,Hyougoro,flashback
1048,Shimotsuki_Yasuie,flashback
1049,Nami,
1050,Franky,
1050,Babanuki,
1050,Charlotte_Anana,cover
1050,Vinsmoke_Ichiji,cover
1051,Inuarashi,cover
1052,Jinbe,
1052,Killer,
1052,Inbi,flashback
1053,Bubblegum,
1053,Buggy,image
1053,Yamato,
1053,Tenguyama_Hitetsu,
1054,Benn_Beckman,
1054,Kouzuki_Momonosuke,
1054,Kawamatsu,
1055,Kouzuki_Hiyori,
1055,Shinobu,
1056,Concelot,cover
1056,Vinsmoke_Reiju,cover
1057,Brook,cover
1058,Buggy,
1058,Vinsmoke_Niji,cover
1062,Stussy,
1067,Vegapunk,
1067,Inazuma,cover
1068,Lilith,
1069,Usopp,
1070,Sentomaru,
1071,Brook,cover
1071,Hibari,
1072,Vegapunk,
1073,Shaka,
1074,Vinsmoke_Judge,cover
1076,Monkey_D._Luffy,cover
1076,Colon,
1077,Kuzan,flashback
1077,Clover,flashback
1078,Sakazuki,flashback
1078,Vinsmoke_Judge,cover
1079,Dorry,
1079,Sentomaru,flashback
1080,Prince_Grus,cover
1080,Kujaku,cover
1081,Doc_Q,flashback
1083,Figarland_Shamrock,silhouette
1083,Kalifa,flashback
1083,Nefertari_Vivi,flashback
1088,Marshall_D._Teach,flashback
1090,Urban,
1092,Jinbe,cover
1095,Borsalino,
1096,Kong,
1096,Monkey_D._Garp,
1096,Gyogyo,
1102,Borsalino,
1105,Lilith,
1108,Vegapunk,cover
1109,Jiron,broadcast; flashback
1109,Nefertari_Vivi,
1110,Shepherd_Ju_Peter,
1110,Lilith,
1110,Atlas,cover
1111,Sanji,cover
1112,Kaku,broadcast
1113,Duval,
1114,Shepherd_Ju_Peter,
1115,Nerona_Imu,
1115,Topman_Warcury,
1115,Wapol,
1115,Toko,cover
1117,Roronoa_Zoro,
1117,Iron_Giant,
1119,Sanji,
1119,Jewelry_Bonney,
1119,Gaimon,cover
1119,Morgans,
1120,Monkey_D._Luffy,
1120,Caesar_Clown,flashback
1121,Figarland_Garling,Sword
1121,Sphinx,
1122,Nerona_Imu,
1124,Borsalino,flashback
1124,Wapol,shadowed
1125,Kaku,
1125,Monkey_D._Dragon,
1125,Gambo,flashback
1125,Koala,flashback
1126,Gambia,
1126,Gab,
1127,Usopp,
1127,Needle_God,cover
1131,Road,
1132,Dorry,
1132,Scopper_Gaban,silhouette
1133,Jewelry_Bonney,
1134,Gerd,
1136,Figarland_Shamrock,silhouette
1137,Harald,picture
1138,Ange,
1143,Brogy,
1143,Stansen,flashback
1144,Colon,
1145,Oimo,
1145,Hajrudin,
1146,Zeus,
1146,Bent,flashback
1146,Colon,flashback
1148,Komachiyo,cover
1157,John,
1157,Monkey_D._Garp,flashback
1158,Charlotte_Linlin,
1160,Rangram,
1160,Monkey_D._Garp,
1160,Monkey_D._Dragon,
1161,Curly_Dadan,doll
1161,Kin'emon,doll
1162,Millet_Pine,Roger Pirates
1162,Yamato,cover
1164,Jaygarcia_Saturn,possessed
1165,Doringo,
1166,Sanji,cover
1168,Stansen,flashback
1168,Mato,flashback
1171,Road,flashback
1172,Road,
1172,Nash,
1174,Skaldi,
1176,Franky,cover
1176,Stansen,
1177,Dorry,
1178,Stansen,
1179,Loki,
1179,Nefertari_Vivi,image
1179,Ethanbaron_V._Nusjuro,
1181,Ragnir,cover
1,Bonk_Punch,flashback
5,Roronoa_Zoro,Marine Rank
9,Richie,
9,Cabaji,
23,Mornin,
23,Ninjin,
25,Ninjin,
27,Kaya,
35,Buchi,cover
36,Jango,cover
37,Monkey_D._Luffy,cover
41,Ninjin,flashback
48,Buggy,cover
64,Patty,
64,Carne,
72,Buggy,"cover, shadowed"
73,Alvida,cover
75,Kuroobi,
75,Yosaku,
77,Sanji,flashback
77,Hatchan,flashback
77,Kuroobi,flashback
80,Monkey_D._Luffy,
81,Arlong,Marine Rank
81,Bell-mère,cover
82,Johnny,
86,Monkey_D._Luffy,K.O.
86,Genzo,
87,Hatchan,K.O.
87,Kuroobi,K.O.
93,Usopp,
93,Monkey_D._Garp,cover
96,Brannew,
96,Tashigi,cover
100,Alvida,
101,Googly-Eyed,
102,Monkey_D._Luffy,
107,Igaram,
113,Karoo,shadowed
115,Karoo,
116,Karoo,
117,Usopp,cover
119,Brogy,
122,Karoo,flashback
123,Usopp,K.O.
128,Monkey_D._Luffy,
128,Usopp,
132,Morgan,cover
133,Usopp,shadowed
134,Dalton,
139,Nami,cover
143,Dalton,
143,Kureha,
145,Monkey_D._Luffy,cover
148,Monkey_D._Luffy,
150,Nami,
153,Tony_Tony_Chopper,cover
155,Mr._9,portrait
157,Yoshimoto,
161,Daz_Bonez,
163,Natto,flashback
164,Nami,cover
166,Drophy,flashback
175,Usopp,Marine Rank
175,Tony_Tony_Chopper,Marine Rank
176,Matsuge,
179,Usopp,Marine Rank
179,Farafra,
180,Zala,
180,Hasami,
182,Hatchan,cover
182,Farafra,flashback
182,Crocodile,flashback
182,Karoo,
183,Tony_Tony_Chopper,cover
184,Hatchan,cover
190,Usopp,flashback
192,Nico_Robin,
196,Crocodile,
197,Nefertari_Cobra,flashback
199,Tony_Tony_Chopper,cover
199,Hatchan,cover
203,Nico_Robin,
211,Hatchan,cover
211,Pappag,cover
214,Igaram,
215,Usopp,cover
216,Tony_Tony_Chopper,cover
217,Tashigi,
218,Nefertari_Cobra,flashback
219,Tony_Tony_Chopper,
222,Jesus_Burgess,
231,Bellamy,
233,Jobo,
234,Benn_Beckman,
234,Jesus_Burgess,
238,Nico_Robin,cover
238,Gan_Fall,
239,Conis,
244,Pierre,
249,Wyper,cover
251,Gan_Fall,K.O.
252,Braham,
258,Wapol,cover
260,Enel,
266,Enel,flashback
270,Holy,flashback
273,Pierre,
274,Shura,flashback
274,Moyle,flashback
277,Monkey_D._Luffy,K.O.
278,Nami,K.O.
280,Nami,cover
283,Shandia_Chief,K.O.
287,Herb,
293,Kalgara,flashback
294,Sanji,K.O.
296,Su,
298,Gan_Fall,cover
300,Nami,
302,Su,
303,Sanji,
303,Rivers,shadowed
307,Itomimizu,
320,Kuzan,cover
322,Nico_Robin,
324,Usopp,shadowed
325,Nami,
326,Usopp,
326,Kaku,cover
327,Nami,cover
328,Paulie,cover
329,Ottoland,flashback
336,Hattori,
338,Franky,
338,Chimney,cover
339,Franky,image
342,Hasami,cover
343,Monkey_D._Luffy,
344,Nami,
344,Chaka,cover
346,Hattori,image
347,Tony_Tony_Chopper,
348,Roronoa_Zoro,
349,Blueno,
349,Tyrannosaurus,
350,Schollzo,
353,Hattori,K.O.
354,Franky,
356,Jorge,
357,Roronoa_Zoro,cover
358,Rob_Lucci,
360,Franky,cover
365,Marianne,cover
365,Iceburg,
369,Rob_Lucci,
371,Monkey_D._Luffy,flashback
371,Fullbody,cover
372,Gem,cover
375,Kiev,
375,Chimney,
376,Kaku,
377,Zambai,
379,Fukurou,
385,Mozu_and_Kiwi,flashback
386,Spandam,
386,Mikita,cover
387,Roronoa_Zoro,
388,Nami,
388,Sanji,
389,Roronoa_Zoro,
390,Tony_Tony_Chopper,Marine Rank
390,Kumadori,
391,Rint,flashback
392,Hina,cover
393,Bentham,cover
394,Roronoa_Zoro,cover
395,Nico_Olvia,
400,Franky,cover
404,Monkey_D._Luffy,
404,Spandam,
407,Babe,cover
410,Kaku,
413,Sanji,K.O.
414,Jabra,
416,Monkey_D._Luffy,cover
421,Hattori,K.O.
424,Rob_Lucci,
424,Chimney,cover
426,Monkey_D._Luffy,
427,Nico_Robin,flashback
433,Iceburg,image
435,Iceburg,
436,Footbianco,
440,Seamars,cover
440,Dalton,
441,Spacey,cover
444,Enel,cover
445,Unigaro,cover
448,Roronoa_Zoro,
450,Ganzui,"cover, flashback"
453,Ganzui,"cover, flashback"
453,Brook,"cover, flashback"
456,Tararan,K.O.
460,Hildon,flashback
460,Enel,cover
465,Usopp,flashback
469,Monkey_D._Luffy,K.O
469,Usopp,
473,Sanji,
474,Usopp,
475,Nico_Robin,
477,Roronoa_Zoro,
480,Usopp,
482,Nami,
483,Sanji,K.O.
483,Absalom,
483,Egana,
488,Mizuta_Mawaritosuki,flashback
491,Camie,
492,Nami,
492,Blueno,cover
493,Tony_Tony_Chopper,
494,Brook,cover
494,Duval,
496,Brook,"cover, K.O."
500,Sanji,
503,Roronoa_Zoro,
503,Brook,
503,Camie,
504,Jean_Bart,
504,Silvers_Rayleigh,
506,Usopp,
507,Borsalino,
