name,bio
Donquixote Homing,"Saint Donquixote Homing was a former World Noble of the Donquixote Family, one of the 20 royal families that founded the World Government. Homing withdrew from his position and left Mary Geoise in order to live a normal life with his wife and two sons, Doflamingo and Rosinante."
Donquixote Mjosgard,"Saint Donquixote Mjosgard was a World Noble and member of the Donquixote Family, one of the 20 royal families that founded the World Government. After an attempt to recapture his freed fish-man slaves went awry, Mjosgard met Queen Otohime of Fish-Man Island's Ryugu Kingdom and became their ally and a supporter of their efforts to integrate with humans, opposing the extreme racism typically associated with the World Nobles' normal ideology."
Donquixote Rosinante,"Donquixote Rosinante was a former World Noble of the Donquixote Family descent, being the second son of Donquixote Homing and the younger brother of Donquixote Doflamingo. After his family lost their status as Celestial Dragons and became pariahs, Rosinante was discovered by Sengoku and enlisted into the Marines, eventually reaching the rank of Commander."
Donquixote Shivercalero,Saint Donquixote Shivercalero is a World Noble from the Donquixote Family and the father of the late Donquixote Mjosgard.
Doran,Doran is a child who was captured and kept in the Biscuits Room on Punk Hazard. He was freed with the rest of the children by the Straw Hat Pirates.
Doringo,Doringo was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Dorry,"Dorry the Blue Ogre is a giant from Elbaph and one of the two captains of the Giant Warrior Pirates alongside Brogy. Once an active and infamous threat in the seas long ago, Dorry became embroiled in a personal duel over a trivial dispute with his best friend and co-captain Brogy."
Dosun,"Dosun is a hammerhead shark fish-man and was one of the officers of the New Fish-Man Pirates. Due to his actions and role, he is considered to be a major antagonist in the Fish-Man Island Arc."
Dotaku,Dotaku is a samurai who resides in Wano Country.
Doubt Brothers,The Doubt Brothers are Shinuchi of the Beasts Pirates.
Douglas Bullet,"Douglas Bullet, known as the Demon Heir, is the main antagonist of One Piece: Stampede. After serving as a child soldier in his homeland of Galzburg, he joined the Roger Pirates and was later imprisoned in Impel Down for over 20 years."
Dr. Fishbonen,Dr. Fishbonen is a Marine naval surgeon stationed at Marineford.
Dracule Mihawk,"Dracule ""Hawk Eyes"" Mihawk is a world-famous pirate currently recognized as the strongest swordsman in the world. Known as the ""Marine Hunter"" in his early career, Mihawk stood as one of the Seven Warlords of the Sea (the first to be revealed and formally introduced) until the group's dissolution, and was for a time the sole human resident of Kuraigana Island."
Dragon Number Thirteen,Dragon Number Thirteen was a dragon created by Vegapunk to guard Punk Hazard. He carried out this duty even after Vegapunk and the World Government's departure until he was killed by Roronoa Zoro four years later.
Dragon Number Twenty-One,"Dragon Number Twenty-One is a dragon created by Vegapunk which resides on Punk Hazard. It was designed to be smaller than Vegapunk's first successful dragon, Dragon Number Thirteen, giving it more quickness."
Drip,"Drip was a member of the Fake Straw Hat Crew who was posing as the real Sanji. When the crew switched to posing as the Kid Pirates, Drip impersonated Killer."
Drophy,"""Town-Collapser"" Drophy, better known by her alias Miss Merry Christmas, is a former officer agent partnered with Mr. 4."
Drug Peclo,"Drug Peclo, also known as the Major Undertaker, is an emperor of the Underworld."
Ducky Bree,Ducky Bree is a member of the Spade Pirates.
Duval,"Duval is the leader of the Rosy Life Riders (originally the Flying Fish Riders), active around the Sabaody Archipelago and Fish-Man Island. Initially an enemy of the Straw Hat Pirates due to a personal grudge against Sanji, he has since become their ally."
Eddy,Eddy was the navigator of the Bellamy Pirates.
Edison,"Edison, also designated as Punk-03 ( PUNK-03, Panku-Surī? ), is one of the six satellites of Dr."
Edward Newgate,"Edward Newgate, more commonly known as ""Whitebeard"", was a legendary pirate and the captain of the Whitebeard Pirates. Widely known as the ""Strongest Man in the World"", he was considered the ""Man Closest to One Piece "" after Gol D. Roger's death."
Edward Weevil,"Edward Weevil, or "" Whitebeard Jr. "", is a pirate and self-proclaimed son of the late Edward ""Whitebeard"" Newgate."
Egana,Egana is Margarita's employer.
Eggplant Soldier,"Eggplant Soldier is a soldier of the Big Mom Pirates, serving as a guard at the Whole Cake Chateau. He was Sanji's helper during his stay at the castle before his planned wedding to Charlotte Pudding."
Eikon,Eikon is a dwarf from the Tontatta Kingdom and a member of the Tontatta Pirates.
Elizabello II,"""The Fighting King"" Elizabello II is the king of the Prodence Kingdom. He is also a fighter who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi."
Elmy,Elmy is an infamous New World pirate captain who allied with Whitebeard.
Emma,Emma is a member of the Kid Pirates.
Emporio Ivankov,"Emporio Ivankov, or Iva for short, is the queen of the Kamabakka Kingdom, known as ""Okama King"" and a ""Miracle Person"". He is one of the Revolutionary Army's founding members, as well as the commander of the G Army, which covers the Grand Line."
Enel,"Enel is the former tyrannical "" God "" of Skypiea. Once an inhabitant of Birka, Enel destroyed his homeland through the powers of the Goro Goro no Mi and led a small army of loyalists to take over Skypiea."
Enishida,Enishida is a member of the Kuja and one of Boa Hancock's attendants in her castle. She is a lady's maid.
Epoida,"Epoida is an infamous New World pirate captain who was once a member of the Whitebeard Pirates, before forming his own crew subordinate to Whitebeard."
Erik,"Erik is an Arabasta Kingdom citizen and a former member of the Rebel Army led by Koza. He is from Suiren, a town that had been completely dried out."
Erio,Erio was a member of the Roger Pirates who acted as their information broker until the crew's dissolution. His current whereabouts and status are unknown.
Eris,"Eris was the mother of Marshall D. Teach and the wife of Rocks D. Xebec, a member of the Davy Family."
Esta,Esta is a citizen of Dressrosa.
Estrid,"Estrid was the mother of Loki, as well as the former arranged wife to king Harald, making her Elbaph's latest queen. She was also the daughter of a pureblooded and ancient influential lineage, akin to nobility."
Ethanbaron V. Nusjuro,"Saint Ethanbaron V. Nusjuro is a World Noble and one of the Five Elders who publicly head the World Government, holding the title of Warrior God of Finance. Due to his actions and role, he is one of the secondary antagonists of the Egghead Arc."
Ettara Chaunkai,Ettara Chaunkai is a citizen of Dressrosa.
Eustass Kid,"Eustass ""Captain"" Kid is a notorious pirate from the South Blue and the captain of the Kid Pirates. He is one of twelve pirates who are referred to as the "" Worst Generation ""."
Fake Chopper,"Nora Gitsune is a fox who filled the role of the "" pet "" for the Fake Straw Hat Crew, who did not know that the real Chopper is the crew's doctor and is given human-traits by the Hito Hito no Mi."
Fake Nami,Chocolat is a member of the Fake Straw Hat Crew who masqueraded as Nami.
Fake Robin,Cocoa was a member of the Fake Straw Hat Crew who impersonated Nico Robin.
Fake Sogeking,Mounblutain was a member of the Fake Straw Hat Crew who masqueraded as Sogeking.
Farafra,Farafra was a member of the Rebel Army led by Koza. He lost his right arm and right shoulder while protecting Koza during an enemy attack.
Farul,Farul is Cavendish's pet horse and a member of the Beautiful Pirates.
Faust,"Faust is a cat mink from North Blue and a member of the Hawkins Pirates, serving as the crew's magician."
Fen Bock,"Fen Bock of the Gourd is an ex-prisoner and former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen. He is a satyr."
Figarland Garling,"Saint Figarland Garling is one of the Five Elders who publicly head the World Government, holding the title Warrior God of Science and Defense; prior to this, he held the position of Supreme Commander of the Knights of God. A World Noble who hails from the Figarland Family, Garling is the biological father of Knights commander Shamrock, as well as the pirate Shanks of the Four Emperors."
Figarland Shamrock,"Saint Figarland Shamrock is a World Noble and the commander of the Knights of God. Born in God Valley, he is the son of Saint Figarland Garling, one of the Five Elders of the World Government, as well as the older twin brother of Shanks, one of the Four Emperors."
Fillonce,Fillonce is an amethyst anthias mermaid and an employee at Mermaid Café.
Finamore,Finamore is a member of the Spade Pirates.
Fishbonen,Dr. Fishbonen is a Marine naval surgeon stationed at Marineford.
Fisher Tiger,"Fisher Tiger, known as the Adventurer, was a sea bream fish-man and the founder and original captain of the Sun Pirates. A well-known explorer, Tiger became a slave for the World Nobles at some point in his adventures."
Flapper,"Flapper is a dwarf from Tontatta Kingdom who first appeared on Green Bit, when he stopped Leo from taking Robin's clothes and belongings. He participated in Operation SOP and became a temporary victim of Sugar's Hobi Hobi no Mi."
Footbianco,Footbianco is one of the Franky Family's Kairiki Destroyers.
Forest Boss,The Forest Boss is a mandrill that was first introduced in Gedatsu's cover story.
Fossa,Fossa is the former 15th division commander of the Whitebeard Pirates.
Fourtricks,Fourtricks is a Shinuchi in the Beasts Pirates.
Foxy,"Foxy the Silver Fox is the captain of the Foxy Pirates, and the main antagonist of the Long Ring Long Land Arc. In the anime, he is a recurring enemy—and occasional ally—of the Straw Hat Pirates, with major roles in the anime-original Foxy's Return Arc, Spa Island Arc, one installment of the Boss Luffy Historical Special, and the Adventure of Nebulandia special."
Francois,Francois is a former prisoner of Impel Down and resident of Newkama Land in Level 5.5.
Franky,"""Iron Man"" Franky is the shipwright of the Straw Hat Pirates and one of the Senior Officers of the Straw Hat Grand Fleet. He is the crew's eighth member and the seventh to join, doing so at the end of the Post-Enies Lobby Arc."
Fuga,"Fuga is a member of the Numbers in the Beasts Pirates, representing the number ""two""."
Fugar,"""Memorial Blade"" Fugar is the bandmaster of the Social Club, a subordinate pirate crew of the Red Hair Pirates."
Fugetsu Omusubi,"Fugetsu Omusubi was a samurai who, as a member of the Fugetsu Family, served as the daimyo of the Kibi region until he was imprisoned and killed by Kaidou 20 years ago."
Fujin,"Fujin is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi."
Fukaboshi,"Fukaboshi is a shark merman and the eldest son of the royal Neptune Family on Fish-Man Island. After he, his father and his brothers were liberated by the Straw Hat Pirates, he allied himself with them against Hody Jones and his crew."
Fukurokuju,"Fukurokuju is a ninja and the previous captain of the Orochi Oniwabanshu before they joined the Beasts Pirates following Orochi's deposition. Though he pledged his team's support to Kaidou, Fukurokuju remained loyal to the surviving Orochi and helped him attempt to get revenge."
Fukurou,Fukurou the Silent is an agent of CP0 and was previously an agent of CP9. He was one of the major antagonists during the Enies Lobby Arc.
Fullbody,"""Double Ironfist"" Fullbody is a Marine lieutenant commander serving under Rear Admiral Hina. He was a Marine Headquarters lieutenant at the start of the series, but was demoted to seaman recruit as a condition when he helped the former Black Cat pirate, Jango, get acquitted for his past crimes (in the anime, it was after getting into a fight with Sanji on the Baratie )."
Funkfreed,"Funkfreed is Spandam's sword, which has been animated by the Zou Zou no Mi, becoming an Elephant Sword. As such, he also serves as a pet and unofficial bodyguard for Spandam, compensating his master's physical slightness."
Furika,Furika is a citizen of Dressrosa.
Furrari,Furrari is the king of the Nagagutsu Kingdom and one of fifty monarchs who took part in the Levely. He is the father of Tritobu.
Fuza,"Fuza is the giant Three-length Bird of the Skypiean Priest Shura, who rode on it to get around to the different places throughout Skypiea."
Gab,"""Howling"" Gab is one of the Senior Officers of the Red Hair Pirates."
Gaburu,Commander Gaburu was a revolutionist commander who led a militia group on an unknown island. His resemblance to Caribou caused misunderstandings in the cover story Caribou's Kehihihihi in the New World.
Gaimon,Gaimon is a former pirate who currently lives inside a treasure chest on the Island of Rare Animals.
Galaxy,General Galaxy is one of the automata created on Karakuri Island by Dr. Tsukimi.
Galdino,"""Loan Shark"" Galdino, alias Mr. 3, is a former officer agent of Baroque Works, partnered with ""Miss Goldenweek"" Marianne."
Gally,"""Crescent-Moon"" Gally is the captain of the Gally Pirates, currently active in the East Blue. He is notable as a character that predates One Piece proper, serving as the main antagonist of the first Romance Dawn prototype."
Gama Pyonnosuke,Gama Pyonnosuke is a toad that sat atop Usopp's head during his stay in Wano Country.
Gambia,Gambia the Missionary is the staff officer of the Barto Club. He was also a gladiator competing at the Corrida Colosseum for the Mera Mera no Mi.
Gambo,Gambo is the deputy commander of the South Army in the Revolutionary Army and the assistant of Lindbergh.
Gan Fall,"Gan Fall is the current God of Skypiea. A venerable figure who served in that role for decades, he was overthrown by Enel and cast out of power for six years."
Gancho,"Gancho is the king, also called ""Tonta-Chief"", of the Tontatta Kingdom. He is the father of Mansherry."
Gangaru,Gangaru is a samurai and member of the Beasts Pirates. He was formerly a member of the Mimawarigumi serving Kurozumi Orochi until Orochi's seeming death.
Ganryu,Ganryu was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Gantonio,Gantonio is a member of the Giant Warrior Pirates. He serves as a minor antagonist in the Elbaph Arc after being converted into a demon.
Ganzui,"Ganzui was a member of the Rocks Pirates. A smuggler by trade, he lost a Davy Back Fight and subsequently joined Rocks in his pursuits."
Garudan,Garudan is a samurai and member of the Beasts Pirates. He was formerly a member of the Mimawarigumi serving Kurozumi Orochi until Orochi's seeming death.
Gatherine,Gatherine is a cafeteria worker at Enies Lobby.
Gattenshochinosukeo,Gattenshochinosukeo is a shipwright from the Wano Country who assisted Franky in repairing the rebel's ships.
Gatz,Gatz is the announcer at the Corrida Colosseum.
Gazelleman,"Gazelleman is a Gifter in the Beasts Pirates. After being tamed by Tama, he became an ally of the Ninja-Pirate-Mink-Samurai Alliance."
Gecko Moria,"Gecko Moria is the captain of the Thriller Bark Pirates and a former member of the Seven Warlords of the Sea who resides on Thriller Bark, the largest ship in the world. His bounty is 320,000,000, which was frozen until he lost his Warlord position."
Gedatsu,"""Sky Boss"" Gedatsu was one of Enel's priests who punished criminals with the Ordeal of Swamp during Enel's reign. He is a major antagonist during the Skypiea Arc, and later the central character from Gedatsu's Accidental Blue-Sea Life Cover Page Serial."
Gem,"Gem of the Border, better known by his alias Mr. 5, was formerly the lowest-ranked officer agent in Baroque Works along with his partner, Miss Valentine."
Genbo,"Genbo is one of the Shandia warriors who fought to take back Upper Yard from Enel. After the timeskip, he joined the God's Guards under Wyper."
Genrin,Genrin is an old man who lives in Ebisu Town.
Genzo,"Genzo is the sheriff of Cocoyasi Village, and an unofficial but long-serving parental figure to Nami and Nojiko. He is an ally of the Straw Hat Pirates during the Arlong Park Arc."
George Mach,George Mach is a former member of the Foxy Pirates. He fought Mountain Ricky before the third round of the Davy Back Fight.
Gerd,Gerd is a giant from Elbaph and the doctor of the New Giant Warrior Pirates. She was formerly an S-Class ranked mercenary for Buggy's Delivery.
Gerotini,"""Ball Fingers"" Gerotini is the captain of the Puddle Pirates, a pirate crew subordinate to the Red Hair Pirates."
Giberson,"Giberson, known as ""The Concealer"", is a veteran warehouseman and one of the emperors of the Underworld."
Gig,Gig is a member of the Kid Pirates.
Gild Tesoro,"Gild Tesoro, also known as the ""Golden Emperor"", was the owner and proprietor of Gran Tesoro, the largest entertainment city-ship in the world. Formerly a slave of the World Nobles, Tesoro became a global kingpin with dealings with the World Government and the Underworld infamously known as the ""Monster of the New World"" and one of the wealthiest people in the world."
Gill Bastar,Gill Bastar was the main character of the one shot Wanted!. He has an extremely high bounty gained from killing many people in self defense.
Gimlet,Gimlet was the infant son of Senor Pink and Russian.
Gin,"Gin the ""Man-Demon"" is a pirate and the Combat Commander of the Krieg Pirates. He is initially introduced as a mere combatant of Krieg before his actual rank and abilities are made clear."
Gina,Gina was the female carpenter of the Foxy Pirates. She left the crew sometime during the Timeskip.
Ginko,Ginko is a little girl who was held captive on Punk Hazard. She was one of the children Momonosuke met when he came to the island.
Ginnosuke,Ginnosuke is a child who lives in the Flower Capital and attended Sarahebi's classes during Kaidou's reign.
Ginny,"Ginny was the former East Army commander of the Revolutionary Army, having joined the group alongside Bartholomew Kuma 22 years ago, back when they were known as the Freedom Fighters. She is the late mother of Jewelry Bonney."
Ginrummy,Ginrummy is a Shinuchi of the Beasts Pirates.
Giolla,"Giolla is an officer of the Donquixote Pirates ' Trebol Army. Due to her actions and role, she is a supporting antagonist during the Dressrosa Arc."
Gion,"Gion, better known by her alias Momousagi, is a Marine vice admiral."
Giovanni,Giovanni is a zebra mink and one of the Three Inuarashi Musketeers leading the squad.
Giro Chintaro,Giro Chintaro is a samurai from Wano Country who was appointed as the kaishakunin for Zorojuro's seppuku ritual.
Gismonda,Gismonda is a masked agent of CP0.
Gladius,"Gladius is an officer of the Donquixote Pirates ' Pica Army. Due to his actions and role, he is a supporting antagonist during the Dressrosa Arc."
Gloriosa,"Gloriosa, more commonly known as "" Elder Nyon "", is an advisor of sorts to the current empress of the Kuja tribe, Boa Hancock. Gloriosa is a former empress and captain of the Kuja Pirates from three generations prior to Hancock."
Glove,Commander Glove is a Marine commander that participated in the Buster Call on Enies Lobby.
Glutbunny,"Glutbunny, also known as the Ear God, was a giant rabbit that lived in the Land of Gods and was revered by its residents. It was killed by Luffy and eaten by the Straw Hat Pirates ' Monster Trio."
Gode,Sage Gode is one of the three Birkan clergymen who lived on Skypiea and served Enel.
Goki,"Goki is a member of the Numbers in the Beasts Pirates, representing the number ""five"". Due to his actions and role, he is a minor antagonist in the Wano Country Arc."
Gol D. Roger,"Gol D. Roger, more commonly known as Gold Roger, was a legendary pirate who, as captain of the Roger Pirates, held the title of Pirate King and possessed the legendary treasure known as the One Piece. He was also the lover of Portgas D. Rouge and the biological father of Portgas D. Ace."
Goldberg,Goldberg is a giant from Elbaph who is the cook of the New Giant Warrior Pirates and was formerly an S-Class ranked mercenary for Buggy's Delivery. He is a major ally of the Straw Hat Pirates during the Elbaph Arc.
Goldfish Princess,The Goldfish Princess is a character in the Hatchan's Sea-Floor Stroll cover story.
Gomorrah,"Gomorrah is one of the two gigantic King Bulls owned by the Franky Family, the other being Sodom."
Gonbe,"Gonbe is Chimney's pet rabbit, though she firmly believes him to be a cat."
Goo,"Captain Goo is a pirate captain who, along with his crew, had their shadows stolen by Gecko Moria."
Googly-Eyed,Googly-Eyed is a Sea King. It is one of the six Sea Kings that speak to Shirahoshi when she fully manifests the power of Poseidon.
Gorilla,Captain Gorilla is a Marine officer who was sent to investigate the Nightmare of Baldimore accidentally caused by Franky.
Gorishiro,Gorishiro is a gorilla that is attached to Mizerka's body due to her consumption of a gorilla SMILE.
Goro,Goro is Toto's younger brother and Koza's paternal uncle. He appeared in Gedatsu's cover story.
Gorobe,Gorobe is a citizen of Okobore Town in the Kuri region of Wano Country.
Gotti,"""Hit Man"" Gotti is an assassin, a combatant in the Fire Tank Pirates, and the husband of Charlotte Lola. Along with his crew, he is a temporary ally of the Straw Hat Pirates during the Whole Cake Island Arc."
Grabar,Grabar is a dwarf from Tontatta Kingdom who first appeared on Green Bit. She is Leo's grandmother.
Gram,Gram was one of the archaeologists of Ohara.
Great Michael,Great Michael is an infamous New World pirate captain who allied with Whitebeard.
Guernika,"Guernika was a masked agent of CP0. While in Wano Country for negotiations with Shogun Kurozumi Orochi, Guernika played a relevant role in the Raid on Onigashima."
Guillotine,Guillotine is a Marine Vice Admiral and one of the nine that took part in the Egghead Incident. He serves as a minor antagonist in the Egghead Arc.
Gurutaro,Gurutaro is a samurai who was part of the Mimawarigumi 41 years ago. He was also a retainer of the Kouzuki Family.
Gyaro,Gyaro is a member of the Macro Pirates. He is a pop-eyed goldfish fish-man.
Gyogyo,"Gyogyo is a member of the Bonney Pirates. He was once a resident of the Sorbet Kingdom, having been a friend of Bartholomew Kuma and Ginny since childhood."
"Gyoro, Nin, and Bao","Gyoro, Nin, and Bao were a trio of oddly shaped Soldier Zombies that were first seen reporting to Moria about the Straw Hats ' arrival."
Gyoru,Gyoru is a fishmonger in Foosha Village and the husband of Chicken. Luffy bought fish from him when he was a kid.
Gyro,Crab-Hand Gyro is the captain of the Gyro Pirates from South Blue that was on its way to the New World before an unfortunate meeting with the New Fish-Man Pirates.
Hack,Hack was one of the archaeologists of Ohara.
Hajrudin,"Hajrudin is a giant warrior described as being from the ""new generation"" of Elbaph. He is the illegitimate son of the late King Harald and his original lover Ida, as well as the older half-brother of Prince Loki."
Hakowan,"Hakowan is Wapol's pet dog, acquired after Wapol was permanently deposed from Drum Island."
Hakugan,Hakugan is the helmsman of the Heart Pirates.
Ham Burger,"Ham Burger is the king of the Ballywood Kingdom, acting as chairman of the most recent Levely."
Hamburg,"Hamburg is a combatant of the Foxy Pirates and the leader of the Groggy Monsters. Alongside Porche, he is one of Foxy's last remaining crewmates."
Hamlet,"Hamlet is a Shinuchi in the Beasts Pirates. During the raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Hammond,Hammond is a Daggertooth pike conger fish-Man and a member of the now disbanded New Fish-Man Pirates. He serves as a supporting antagonist in the Fish-Man Island Arc.
Han,Han-ko is a child from Ebisu Town.
Hana,"O-Hana is a citizen of Wano Country, residing in the Flower Capital."
Hangan,Hangan is an infamous New World pirate captain who allied with Whitebeard.
Hanger,"Hanger is an employee at Robecca Hanberg, a clothing store in Loguetown. Nami tried on all of his best clothes, but did not buy any."
Hanji,Hanji is a former prisoner of Udon's Prisoner Mine.
Hannyabal,"Hannyabal is the warden of Impel Down. Formerly the Vice Warden, he was promoted to Magellan's position following the mass breakout."
Hanzo,"Hanzo is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi."
Happa Yamao,"Happa Yamao is a civilian of Water 7 whom Usopp bought wood and supplies from in order to repair the Going Merry. He is an old bandit turned carpenter who moved to Water 7 from the ""Gourmet City"", Pucci."
Happygun,Happygun is an infamous New World pirate captain who allied with Whitebeard.
Hara,Hara is a resident who lives in the Flower Capital of Wano Country.
Harald,"Harald was the most recent king of Elbaph and a member of the Knights of God. He is the father of Hajrudin and Loki, born respectively from Ida, his original lover, and Estrid, his official spouse."
Haredas,Haredas is an old man who lives in Weatheria. He was Nami's tutor in weather-manipulation during the timeskip.
Hareji,"Hareji is a former prisoner of Udon's prisoner mines. In the past, he was a resident of the Flower Capital."
Haritsu Kendiyo,Haritsu Kendiyo is a pirate captain whose crew was captured by the Kid Pirates as they tried to escape back to Paradise from the New World.
Haruta,Haruta is the former 12th division commander of the Whitebeard Pirates.
Hasami,"Hasami is a giant desert crab from Sandy Island, and a friend of Matsuge the camel. Originally an inhabitant of the deserts near Rainbase, he currently works as an employee of Ukkari Hot-Spring Island."
Hatcha,"Hatcha is a member of the Numbers in the Beasts Pirates, representing the number ""eight"". Due to his actions and role, he is a minor antagonist in the Wano Country Arc."
Hatchan,"Hatchan, nicknamed "" Hachi "", is an octopus fish-man who was an officer of the Arlong Pirates before their defeat, and a member of the Sun Pirates before that. After the rest of the Arlong Pirates were arrested, Hatchan was the sole member to escape, and went on many adventures which ended in him opening a floating takoyaki restaurant and meeting up again with the Straw Hat Pirates."
Hatsume,Hatsume is a samurai and member of the Beasts Pirates. She was formerly a member of the Mimawarigumi serving Kurozumi Orochi until Orochi's seeming death.
Hattori,"Hattori is Rob Lucci's pet pigeon, and initially acted as the target of his ventriloquism."
Hawkman,Hawkman is a Gifter in the Beasts Pirates.
Heat,Heat is a member of the Kid Pirates.
Helmeppo,"Lieutenant Commander Helmeppo is a Marine officer and the son of ex-Marine Captain ""Axe-Hand"" Morgan. Once a civilian who shamelessly exploited his father's status, he (together with Koby ) underwent extensive training under Vice Admiral Garp to become a full-fledged serviceman, currently holding the rank of lieutenant commander."
Heppoko,Heppoko is a member of the Alvida Pirates and the triplet brother of Peppoko and Poppoko.
Hera,"Hera the Thundercloud is a thundercloud homie created by Big Mom at Wano Country as a replacement for Zeus. She is a special kind of homie, having received a soul fragment from Big Mom herself, and serves as one of her personal weapons, alongside Prometheus and Napoleon."
Heracles,Heracles is a strange warrior that used to reside in the Greenstone forest in the Boin Archipelago. He trained Usopp in the use of Pop Greens for two years.
Herb,Herb was a Shandia from 400 years ago. She was Kalgara's wife and Mousse's mother.
Hewitt,Hewitt was the chef of the Bellamy Pirates.
Hibari,Hibari is a Marine Commander and a member of SWORD.
Hidayu,"Hidayu is a samurai who allied with the Kouzuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima."
Higuma,"Higuma was a bandit and the leader of the Higuma Bandits, active in the mountains of Dawn Island. He was the first antagonist to be introduced in the series, and the first of three in the Romance Dawn Arc (third of three in the anime)."
Hihimaru,Hihimaru is a baboon that was formerly a guard for the Beasts Pirates before being tamed by Tama.
Hikkomitsukumai,Hikkomitsukumai is a retainer of the Kurozumi Family and a prison guard who lives in the Flower Capital of Wano Country.
Hildon,"Hildon was a Wild Zombie that resembled a stitched-up vampire. He appeared to act as a messenger in-between the members of Thriller Bark's Mysterious Four, reporting to them noteworthy events that were happening throughout the island ship before it fell."
Hilmungardr,Hilmungardr is a giant serpent that lives in the Land of Gods.
Himuro,"Himuro is a samurai and a member of the Beasts Pirates. He was previously a member of the Mimawarigumi, which served as the police force of the shogun of Wano Country, Kurozumi Orochi."
Hina,"""Black Cage"" Hina is a Marine Rear Admiral and a former classmate of Vice Admiral Smoker. She currently leads the Black Cage Corps, a unit (containing Jango and Fullbody among others) tasked with patrolling the seas around the Arabasta Kingdom."
Hip,Hip is a member of the Kid Pirates.
Hippan Natte,Hippan Natte is a Waiter of the Beasts Pirates who serves as a guard in the Prisoner Mine of the Udon region.
Hippie,Hippie the Skull Curry is the captain of the Endurance Curry Pirates.
Hiramera,Hiramera is an olive flounder mermaid and a dancer in the Mermaid Café.
Hiriluk,"Dr. Hiriluk was a quack doctor from Drum Island, as well as Tony Tony Chopper's father figure."
Hiro Gomon,Hiro Gomon is a member of the Endurance Curry Pirates.
Hiroshi,Hiroshi is a resident of Bakura Town in Wano Country who runs a restaurant alongside Wakasa; the two of them own a tanuki named Saikoro which the sumo wrestler Urashima forced to be cooked and served to him.
Hitsugisukan,Duke Hitsugisukan is a sheep mink and the former ruler of the Mokomo Dukedom before Inuarashi and Nekomamushi.
Ho,Dr. Ho is the palace medic of Arabasta's royal family.
Hocha,Hocha was one of the archaeologists of Ohara.
Hocker,Hocker was the owner of the Pet Food Shop in Orange Town and the owner of Chouchou.
Hody Jones,"Hody Jones is a great white shark fish-man, the captain of the New Fish-Man Pirates before their downfall, and a former soldier of the Neptune Army. He is an admirer and militant believer of Arlong's ideals, and the main antagonist of the Fish-Man Island Arc."
Hoe,Hoe is the pet whale of King Neptune who uses him as a means of transportation. The only word he can say is his own name.
Hogback,"Doctor Hogback is the world-renowned ""Genius Surgeon"" who joined the Thriller Bark Pirates under the employment of Gecko Moria and assisted him in creating his undead army. He was one of the Mysterious Four and the secondary antagonist of the Thriller Bark Saga."
Hoisassa,Hoisassa is a retainer of the Kurozumi Family.
Holed'em,"Holed'em is a Shinuchi of the Beasts Pirates, who resides in Bakura Town. He is the son of Norinosuke, a Wano Country citizen."
Holy,"Holy is a dog raised and trained by Ohm. In addition to being Ohm's pet, he is a skilled martial artist in his own right."
Hongo,Hongo is the one of the Senior Officers and the doctor of the Red Hair Pirates.
Honner,Dr. Honner was the doctor aboard Mont Blanc Noland's expedition fleet 400 years ago.
Hop,Hop is a member of the Kid Pirates.
Horseman,Horseman is a Gifter in the Beasts Pirates and an attendant of Bao Huang.
Hotei,"Hotei is the former captain of the Mimawarigumi, a samurai police force in Wano Country that served the shogun Kurozumi Orochi until he was deposed by Kaidou. Due to his actions and role, he is a minor antagonist in the Wano Country Arc."
Hotori and Kotori,"Hotori and Kotori are the younger triplet brothers of Satori. They are lieutenants of the Divine Soldiers, an army of 50 warriors under the command of Yama, their leader, and Enel."
Hototogisu,Hototogisu is a Marine Vice Admiral and a subordinate of Vice Admiral Tsuru.
Hound,Hound is a Marine Vice Admiral and one of the nine that took part in the Egghead Incident. He serves as a minor antagonist in the Egghead Arc.
House,House is a member of the Kid Pirates.
Hublot,Hublot is a member of the Spade Pirates.
Humphrey,Humphrey is a bartender at Sabaody Archipelago.
Hustle,Hustle is a member of the Krieg Pirates and a combat instructor.
Hyougoro,"Hyougoro of the Flower is the former yakuza boss of the Flower Capital and the most famous yakuza in Wano Country during the Kouzuki Family's reign. During Kurozumi Orochi's reign, he was imprisoned in Udon's prisoner mines until he was freed by Monkey D. Luffy."
Hyoutauros,"Hyoutauros is a former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen. He is a jaguar centaur."
Hyouzou,"Hyouzou is a poisonous blue-ringed octopus merman. Prior to his imprisonment, he was a mercenary and working as the New Fish-Man Pirates ' assassin, and later became one of the officers."
